Município;2022;2023;Total
110045 BURITIS;693294;795933;1489227
290323 BARRO ALTO;93802;132906;226708
310450 ARINOS;202970;297986;500956
310930 BURITIS;676034;793573;1469607
310945 CABECEIRA GRANDE;14569;34021;48590
317040 UNAI;1723728;2073062;3796790
520010 ABADIANIA;1738420;1413507;3151927
520017 AGUA FRIA DE GOIAS;91422;90894;182316
520025 AGUAS LINDAS DE GOIAS;2139501;1860138;3999639
520030 ALEXANIA;189211;154202;343413
520060 ALTO PARAISO DE GOIAS;258841;314482;573323
520080 ALVORADA DO NORTE;86678;86209;172887
520320 BARRO ALTO;102863;144987;247850
520400 CABECEIRAS;256059;202403;458462
520530 CAVALCANTE;163382;179466;342848
520549 CIDADE OCIDENTAL;1972411;1901611;3874022
520551 COCALZINHO DE GOIAS;56070;58355;114425
520580 CORUMBA DE GOIAS;40403;41951;82354
520620 CRISTALINA;413728;492125;905853
520790 FLORES DE GOIAS;215278;195859;411137
520800 FORMOSA;1151101;875614;2026715
520860 GOIANESIA;1680445;2054219;3734664
521250 LUZIANIA;1325145;2258504;3583649
521305 MIMOSO DE GOIAS;9508;16379;25887
521460 NIQUELANDIA;2708777;2801600;5510377
521523 NOVO GAMA;913205;957260;1870465
521560 PADRE BERNARDO;367918;544865;912783
521730 PIRENOPOLIS;217671;261619;479290
521760 PLANALTINA;1101763;811469;1913232
521975 SANTO ANTONIO DO DESCOBERTO;376051;439110;815161
522000 SAO JOAO D'ALIANCA;255132;314534;569666
522068 SIMOLANDIA;22427;21829;44256
522185 VALPARAISO DE GOIAS;1814904;2163522;3978426
522220 VILA BOA;141150;149126;290276
522230 VILA PROPICIO;110352;166953;277305
