CodMun,UF,Cod UF,Mun,Pop,Faixa_pop,Regiao,Mreh0111,Mreh0112,Mreh0113,Mreh0114,Mreh0115,Mreh0116,Mreh02,Mreh0311,Mreh0312,Mreh0313,Mreh0314,Mreh0315,Mreh0316
1100452,RO,11,Buritis,41043,4 - 20001 até 50000,1 - Norte,692,286,145,0,0,1123,Sim,0,0,5,0,0,5
2903235,BA,29,Barro Alto,15171,3 - 10001 até 20000,2 - Nordeste,545,6,118,4,0,673,Não,-,-,-,-,-,-
3104502,MG,31,Arinos,17850,3 - 10001 até 20000,3 - Sudeste,295,0,63,0,348,706,Sim,38,0,1,0,36,75
3109303,MG,31,Buritis,25179,4 - 20001 até 50000,3 - Sudeste,528,0,74,0,475,1077,Não,-,-,-,-,-,-
3109451,MG,31,Cabeceira Grande,7025,2 - 5001 até 10000,3 - Sudeste,370,0,30,0,107,507,Sim,15,5,4,0,0,24
3170404,MG,31,Unaí,85461,5 - 50001 até 100000,3 - Sudeste,1925,0,143,0,320,2388,Sim,146,0,5,5,0,156
5200100,GO,52,Abadiânia,20873,4 - 20001 até 50000,5 - Centro-Oeste,384,0,197,0,89,670,Sim,16,1,5,0,4,26
5200175,GO,52,Água Fria de Goiás,5843,2 - 5001 até 10000,5 - Centro-Oeste,186,17,106,0,0,309,Não,-,-,-,-,-,-
5200258,GO,52,Águas Lindas de Goiás,222850,6 - 100001 até 500000,5 - Centro-Oeste,2693,0,655,143,138,3629,Sim,3,0,7,0,0,10
5200308,GO,52,Alexânia,28360,4 - 20001 até 50000,5 - Centro-Oeste,613,0,218,0,86,917,Sim,3,0,0,0,0,3
5200605,GO,52,Alto Paraíso de Goiás,7751,2 - 5001 até 10000,5 - Centro-Oeste,272,19,64,10,78,443,Não,-,-,-,-,-,-
5200803,GO,52,Alvorada do Norte,8749,2 - 5001 até 10000,5 - Centro-Oeste,308,0,31,0,88,427,Não,-,-,-,-,-,-
5203203,GO,52,Barro Alto,11643,3 - 10001 até 20000,5 - Centro-Oeste,599,0,205,0,90,894,Não,-,-,-,-,-,-
5204003,GO,52,Cabeceiras,8098,2 - 5001 até 10000,5 - Centro-Oeste,266,0,35,0,44,345,Não,-,-,-,-,-,-
5205307,GO,52,Cavalcante,9740,2 - 5001 até 10000,5 - Centro-Oeste,449,0,118,0,35,602,Não,-,-,-,-,-,-
5205497,GO,52,Cidade Ocidental,74370,5 - 50001 até 100000,5 - Centro-Oeste,1169,0,310,78,310,1867,Não,-,-,-,-,-,-
5205513,GO,52,Cocalzinho de Goiás,20771,4 - 20001 até 50000,5 - Centro-Oeste,546,0,238,0,0,784,Não,-,-,-,-,-,-
5205802,GO,52,Corumbá de Goiás,11223,3 - 10001 até 20000,5 - Centro-Oeste,300,0,55,0,0,355,Sim,8,0,6,0,3,17
5206206,GO,52,Cristalina,61385,5 - 50001 até 100000,5 - Centro-Oeste,1384,0,858,0,185,2427,Não,-,-,-,-,-,-
5207907,GO,52,Flores de Goiás,17415,3 - 10001 até 20000,5 - Centro-Oeste,539,0,84,2,59,684,Não,-,-,-,-,-,-
5208004,GO,52,Formosa,125705,6 - 100001 até 500000,5 - Centro-Oeste,2428,0,470,0,123,3021,Não,-,-,-,-,-,-
5208608,GO,52,Goianésia,72045,5 - 50001 até 100000,5 - Centro-Oeste,1387,0,410,350,299,2446,Sim,0,0,9,0,7,16
5212501,GO,52,Luziânia,214645,6 - 100001 até 500000,5 - Centro-Oeste,2972,0,975,0,0,3947,Sim,10,0,40,0,0,50
5213053,GO,52,Mimoso de Goiás,2575,1 - Até 5000,5 - Centro-Oeste,64,0,178,0,0,242,Não,-,-,-,-,-,-
5214606,GO,52,Niquelândia,47064,4 - 20001 até 50000,5 - Centro-Oeste,1201,0,228,0,40,1469,Não,-,-,-,-,-,-
5215231,GO,52,Novo Gama,119649,6 - 100001 até 500000,5 - Centro-Oeste,1307,0,271,0,0,1578,Sim,0,0,10,0,0,10
5215603,GO,52,Padre Bernardo,35011,4 - 20001 até 50000,5 - Centro-Oeste,829,0,151,0,0,980,Não,-,-,-,-,-,-
5217302,GO,52,Pirenópolis,25218,4 - 20001 até 50000,5 - Centro-Oeste,421,0,133,0,109,663,Não,-,-,-,-,-,-
5217609,GO,52,Planaltina,91345,5 - 50001 até 100000,5 - Centro-Oeste,2361,0,198,0,4,2563,Não,-,-,-,-,-,-
5219753,GO,52,Santo Antônio do Descoberto,76871,5 - 50001 até 100000,5 - Centro-Oeste,1514,0,367,0,247,2128,Sim,7,0,0,0,0,7
5220686,GO,52,Simolândia,6895,2 - 5001 até 10000,5 - Centro-Oeste,243,0,66,0,80,389,Não,-,-,-,-,-,-
5221858,GO,52,Valparaíso de Goiás,175720,6 - 100001 até 500000,5 - Centro-Oeste,2708,0,352,0,1132,4192,Sim,8,0,22,0,10,40
5222203,GO,52,Vila Boa,6451,2 - 5001 até 10000,5 - Centro-Oeste,237,0,67,0,5,309,Não,-,-,-,-,-,-
5222302,GO,52,Vila Propício,5941,2 - 5001 até 10000,5 - Centro-Oeste,138,0,139,0,15,292,Não,-,-,-,-,-,-
