Sigla,Código,Município,2022,2023,Unnamed: 5
BA,2903235,Barro Alto,0.3639,0.389,
GO,5200100,Abadiânia,0.6257,0.6106,
GO,5200175,Água Fria de Goiás,0.5989,0.6883,
GO,5200258,Águas Lindas de Goiás,0.5097,0.5487,
GO,5200308,Alexânia,0.6163,0.6801,
GO,5200605,Alto Paraíso de Goiás,0.628,0.6685,
GO,5200803,Alvorada do Norte,0.5738,0.6386,
GO,5203203,Barro Alto,0.6556,0.7014,
GO,5204003,Cabeceiras,0.5851,0.6474,
GO,5205307,Cavalcante,0.4488,0.4297,
GO,5205497,Cidade Ocidental,0.557,0.5933,
GO,5205513,Cocalzinho de Goiás,0.5434,0.583,
GO,5205802,Corumbá de Goiás,0.6077,0.5656,
GO,5206206,Cristalina,0.7018,0.7436,
GO,5207907,Flores de Goiás,0.4717,0.4943,
GO,5208004,Formosa,0.6751,0.6996,
GO,5208608,Goianésia,0.6915,0.7486,
GO,5212501,Luziânia,0.5829,0.6172,
GO,5213053,Mimoso de Goiás,0.5565,0.602,
GO,5214606,Niquelândia,0.5875,0.6274,
GO,5215231,Novo Gama,0.4977,0.5258,
GO,5215603,Padre Bernardo,0.483,0.4986,
GO,5217302,Pirenópolis,0.5969,0.665,
GO,5217609,Planaltina,0.517,0.5554,
GO,5219753,Santo Antônio do Descoberto,0.4687,0.4784,
GO,5220009,São João d'Aliança,0.5877,0.6182,
GO,5220686,Simolândia,0.4969,0.5431,
GO,5221858,Valparaíso de Goiás,0.5998,0.6119,
GO,5222203,Vila Boa,0.6163,0.71,
GO,5222302,Vila Propício,0.6435,0.6918,
MG,3104502,Arinos,0.6008,0.6959,
MG,3109303,Buritis,0.6354,0.6125,
MG,3109451,Cabeceira Grande,0.6408,0.5908,
MG,3170404,Unaí,0.7076,0.736,
RO,1100452,Buritis,0.5589,0.5954,
